19:01:40	Madra	Madra	wat?
19:04:21	Shinn	Shinn	lol
19:53:40	Jun	Jun	.
20:15:44	Hyuuga ShikaGami	Hyuuga ShikaGami	god i sk wiht Hyuuga
20:18:29	Kakazu	Kakazu	Vote-Mute Kakazu.0x300009f 
20:19:09	Hyuuga ShikaGami	Hyuuga ShikaGami	lets join the war lol
20:19:19	Inuzuka Choky	Inuzuka Choky	MMK
20:19:23	Inuzuka Choky	Inuzuka Choky	caps*
20:19:37	Hyuuga ShikaGami	Hyuuga ShikaGami	we get money in war right?
20:19:43	Inuzuka Choky	Inuzuka Choky	mhmm
20:20:15	Shinchiro	Kakazu	wtf
20:20:17	Shinchiro	Kakazu	wtf
20:20:27	Kakazu	Kakazu	I Coiped A Person 
20:21:04	Masu	Kakazu	hey
20:21:21	Masu	Kakazu	im new to the game
20:21:59	Masu	Kakazu	I Hate This Game But Now  When i Tryed  It I Like It
20:22:14	Masu	Kakazu	How You Learn Jutsus
20:23:15	Kakazu	Kakazu	wtf
20:23:47	Inuzuka Choky	Inuzuka Choky	xD
20:23:59	Hyuuga ShikaGami	Hyuuga ShikaGami	remaking again  now imma be Youth , my main char &gt;.&gt;
20:23:59	Kakazu	Kakazu	How You Attack
20:24:07	Inuzuka Choky	Inuzuka Choky	mmk
20:25:38	ShikaGami	ShikaGami	lol
20:25:58	Kakazu	Kakazu	Im New
20:26:28	Kakazu	Kakazu	Hey Gennin
20:26:35	Kakazu	Kakazu	How To Attack
20:34:14	ShikaGami	ShikaGami	damn
20:34:20	ShikaGami	ShikaGami	the passives lol
20:35:41	ShikaGami	ShikaGami	ready
20:35:46	Inuzuka Choky	Inuzuka Choky	yeah
20:37:24	Inuzuka Choky	Inuzuka Choky	hmm
20:37:27	ShikaGami	ShikaGami	lol love gates but
20:37:35	ShikaGami	ShikaGami	i gotta test 1 thing
20:38:07	ShikaGami	ShikaGami	lol
20:38:09	ShikaGami	ShikaGami	op?
20:38:18	Inuzuka Choky	Inuzuka Choky	yeah...
20:38:28	ShikaGami	ShikaGami	done
20:38:41	ShikaGami	ShikaGami	op combo? lol
20:38:45	Inuzuka Choky	Inuzuka Choky	it does 10k dmg...
20:38:48	ShikaGami	ShikaGami	lol
20:38:59	ShikaGami	ShikaGami	You took 23300 Stamina damage from ShikaGami!

20:39:02	ShikaGami	ShikaGami	omfg
20:39:18	ShikaGami	ShikaGami	that really op
20:39:25	Inuzuka Choky	Inuzuka Choky	kinda.....
20:39:32	Inuzuka Choky	Inuzuka Choky	but w/e
21:22:01	ShikaGami	ShikaGami	back nd damn
