16:15:29	Kouga	Kouga	laaaaaag
16:20:05	Funker	Funker	mhm
16:22:36	Zabuza	Zabuza	how you got CS?
16:22:57	Zabuza	Zabuza	damn steal my skills D:
18:06:37	Test	Test	arty
21:19:52	ShikaGami	ShikaGami	?
21:28:16	Olgenson	Olgenson	cool lol
21:28:22	Naruto	Naruto	hey
21:28:35	Olgenson	Olgenson	i can see you chakra its huge
21:28:42	Olgenson	Olgenson	your
21:28:44	Naruto	Naruto	i&#39;m going log of i need u to kill my alt 7 to 15 times k
21:28:52	Olgenson	Olgenson	ok
21:28:53	Naruto	Naruto	i know lol
21:29:04	Naruto	Naruto	so we can get a rank missions
21:29:10	Olgenson	Olgenson	nice
21:30:32	Uchiha madara	Uchiha madara	kill me olg
21:32:27	Uchiha madara	Uchiha madara	i&#39;m 70 lol
21:32:42	Olgenson	Olgenson	lol
21:33:26	Uchiha madara	Uchiha madara	wow
21:33:32	Olgenson	Olgenson	holy shit
21:33:51	Uchiha madara	Uchiha madara	space target me
21:34:00	Uchiha madara	Uchiha madara	holy shit
21:34:08	Uchiha madara	Uchiha madara	i can do that cool
21:34:17	Olgenson	Olgenson	so this the power sage lol
21:34:22	Uchiha madara	Uchiha madara	yep
21:34:43	Uchiha madara	Uchiha madara	dam wow
21:34:56	Olgenson	Olgenson	you can take all that lol
21:34:59	Uchiha madara	Uchiha madara	i&#39;m healing hurry up
21:35:22	Uchiha madara	Uchiha madara	your not strong remember we are the same lvl lol
21:35:56	Uchiha madara	Uchiha madara	play a long
21:36:39	Uchiha madara	Uchiha madara	i&#39;m dead bro
21:36:45	Olgenson	Olgenson	oh 
21:36:52	Uchiha madara	Uchiha madara	i&#39;m just stuck
21:37:28	Uchiha madara	Uchiha madara	go command report card and tell me your report
21:37:35	Uchiha madara	Uchiha madara	like copy it
21:38:06	Olgenson	Olgenson	Level Grade: 60/200
Kill/Death Ratio Grade: 1 / 3.0
Village Kills: 1 *Village kills effect your grades!
Total Grade 72% / 100%
Note that your Faction Rank (Genin, Chuunin etc) will effect what percent is required for each letter grade.
Current Rank: B
21:38:41	Uchiha madara	Uchiha madara	nice your the higest now
21:40:47	Uchiha madara	Uchiha madara	what is it now
21:41:10	Uchiha madara	Uchiha madara	wait join war
21:43:21	Naruto	Naruto	now log of and make a new acount with your other key
21:44:39	Naruto	Naruto	come
21:48:54	Naruto	Naruto	wait olg
21:49:04	Naruto	Naruto	create it in the mist
22:02:02	Shinn	Shinn	wait a bit....
22:02:39	Naruto	Naruto	i active sage mode man
22:02:54	Shinn	Shinn	nothing happens
22:02:56	Shinn	Shinn	i think
22:03:07	Naruto	Naruto	yea something happen
22:03:16	Naruto	Naruto	more damage increase in speed
22:03:26	Naruto	Naruto	come down leave kono
22:03:40	Shinn	Shinn	come in
22:04:22	Shinn	Shinn	jajajajajaj
22:06:29	Shinn	Shinn	dang
22:06:31	Naruto	Naruto	kill me so we can start over
22:06:37	Shinn	Shinn	ok
22:06:47	Olgenson	Olgenson	O_o
22:06:47	Naruto	Naruto	i mess my combo up
22:07:05	Naruto	Naruto	nice get up olg
22:07:13	Olgenson	Olgenson	thx
22:07:22	Olgenson	Olgenson	O_O
22:07:39	Naruto	Naruto	kill me
22:07:43	Shinn	Shinn	wait
22:07:44	Shinn	Shinn	hehe
22:07:47	Naruto	Naruto	my moves are coming back
22:08:09	Naruto	Naruto	olg run
22:08:15	Shinn	Shinn	hehe
22:08:21	Olgenson	Olgenson	lol
22:08:22	Naruto	Naruto	hmm nice move
22:08:30	Shinn	Shinn	its called hydrogen bomb
22:08:32	Naruto	Naruto	93
22:08:36	Naruto	Naruto	wow
22:08:52	Naruto	Naruto	nice combo
22:08:56	Shinn	Shinn	tnx
22:09:03	Shinn	Shinn	but this dont do very much dmg...
22:09:11	Naruto	Naruto	o i see
22:09:21	Shinn	Shinn	im going to remake
22:09:32	Naruto	Naruto	hmm who
22:09:36	Naruto	Naruto	which clan
22:09:36	Shinn	Shinn	dunno
22:09:43	Naruto	Naruto	o ok
22:09:49	Shinn	Shinn	i think....
22:10:04	Shinn	Shinn	snake or crystal
22:10:17	Shinn	Shinn	or uchiha
22:10:19	Naruto	Naruto	hmm snake does more damage
22:10:24	Naruto	Naruto	no uchiha
22:10:36	Naruto	Naruto	i would have picked it but its hard
22:10:42	Shinn	Shinn	true
22:10:46	Shinn	Shinn	naruto
22:10:50	Shinn	Shinn	what does sage do?
22:11:11	Naruto	Naruto	o it increase speed control and reflex
22:11:18	Shinn	Shinn	control
22:11:20	Shinn	Shinn	srsly?
22:11:24	Naruto	Naruto	that makes you fast in combat
22:11:29	Shinn	Shinn	hmm........
22:11:30	Naruto	Naruto	olg kill me
22:11:34	Naruto	Naruto	i&#39;ll show u
22:11:39	Shinn	Shinn	im srsly thinking about creating a sage
22:11:44	Naruto	Naruto	yea
22:11:48	Naruto	Naruto	you should
22:11:59	Naruto	Naruto	hmm
22:12:26	Naruto	Naruto	can u hurry up i&#39;m just 103
22:12:41	Naruto	Naruto	lol bro 
22:13:00	Naruto	Naruto	let me gain my states back
22:13:22	Naruto	Naruto	ready to die
22:13:34	Naruto	Naruto	and olg u can catch up no
22:13:35	Olgenson	Olgenson	&gt;:D
22:13:37	Naruto	Naruto	now
22:13:49	Naruto	Naruto	beacuse this game
22:16:17	Shinn	Shinn	lol
22:16:19	Shinn	Shinn	fail
22:16:32	Olgenson	Olgenson	i used sage lol
22:16:52	Shinn	Shinn	omfg
22:16:57	Shinn	Shinn	clones using rasengan
22:17:04	Shinn	Shinn	always wanted to see this
22:20:04	Naruto	Naruto	olg u ass y=u need me
22:20:22	Olgenson	Olgenson	i thought this was spar
22:22:14	Naruto	Naruto	it is
22:23:28	Naruto	Naruto	this guys is ok
22:23:41	Naruto	Naruto	og stand ot
22:23:51	Naruto	Naruto	its me and u then me and him
22:24:27	Naruto	Naruto	i need to heal
22:24:42	Naruto	Naruto	ready
22:25:00	Naruto	Naruto	:)
22:27:48	Naruto	Naruto	wow that was some work out
