19:42:30	Kiri	<font color=#01DF01><font color=#01DF01><font color=#01DF01>Chojuro	hmm
20:34:05	Konoha	Uchiha Shisui	arty
20:34:18	Konoha	Arty	?
20:34:25	Konoha	Uchiha Shisui	u kage
20:34:28	Konoha	Arty	idk why
20:34:31	Konoha	Arty	poor coding probably
20:34:32	Konoha	Arty	xD
20:34:50	Konoha	Uchiha Shisui	so can i join ur staff since i found u a coder
20:35:03	Konoha	Arty	you talking to me?
20:35:04	Konoha	Arty	LOL
20:35:13	Konoha	Arty	&lt;-- my own coder
20:35:24	Konoha	Arty	I don&#39;t need no coder nigga 
20:35:26	Konoha	Arty	pfft
21:37:16	Konoha	Uchiha Shisui	jweeze
22:13:54	Konoha	Uchiha Dice	BOOO
23:08:15	Konoha	Uchiha Shigami	yey
23:08:23	Konoha	Uchiha Shigami	i feel like ebisu
23:08:25	Konoha	Uchiha Shigami	lmfao
23:08:40	Konoha	Uchiha Shigami	can i fight u for elite joniun?
23:09:11	Konoha	Uchiha Shigami	fight 
23:09:38	Konoha	Uchiha Clay	fight?
23:09:40	Konoha	Uchiha Clay	uh
23:09:43	Konoha	Uchiha Clay	ok
